feature_0,feature_0*feature_1,feature_1,feature_2**2,feature_2**2-feature_2,feature_3,feature_4,target
0.5432910870252345,0.3960324333480874,0.7289507278990068,0.0002849832203942899,-0.016596462819394184,0.33033880291377216,0.36872182488457284,20.434283733687494
0.7263171534399181,0.3517035925075658,0.48422867454232466,0.016093721895395013,-0.11076731189904879,0.10540474750707818,0.04226595596486593,12.704798902678531
0.26471782928971255,0.09204710594030842,0.3477178178262039,0.8477159252510424,-0.07299897375463915,0.9831619871318823,0.976486424248309,21.129467053682937
0.32677088466127,0.058335211091182955,0.17852022266810308,0.17416450505934244,-0.24316570599581522,0.37654917515264996,0.4561338217212604,8.054410927862664
0.06804871646068755,0.04027860280512933,0.5919083400845436,0.48973571851200226,-0.21007548353609462,0.6176429127044463,0.7281784914172256,11.369636639007677
0.9197013014132802,0.1796083557058577,0.1952898788224594,0.8590933302705774,-0.06777954681159148,0.35621899889041586,0.08837760896031166,13.699832700228718
0.45976823434031033,0.3382225228739804,0.7356369962341408,0.08982760498936494,-0.20988493226819616,0.2831018492752799,0.3043259185623042,14.018129223855306
0.498963225066426,0.17850632659375015,0.35775447493146606,0.9850965013098719,-0.007423776220956135,0.20725488270567116,0.1523621458301161,12.712226512800296
0.7498506450192062,0.42327104778284247,0.5644738063431299,0.036979934688262904,-0.1553217415609651,0.7314852185661185,0.05627835191189923,19.114960154975083
0.45432800671422047,0.13821634497525961,0.30422149401456533,0.8336026107548944,-0.07941579582565994,0.6176585296451996,0.2822313084886414,15.755427577095693
0.7456314879637975,0.40343291750773513,0.5410620715729791,0.9026501186856348,-0.04742888786362831,0.34103218029112636,0.9726600398668678,22.369642305772857
0.8789806695160692,0.6514151765626779,0.7411029606843578,5.285200375313889e-07,-0.0007264653159276637,0.8336228622484804,0.8482366742375086,26.73644807320953
0.041485997999665236,0.023664915233745767,0.5704313834739309,0.026073665498784926,-0.1353997549108445,0.3033808661489866,0.9266594512229671,11.010778391418162
0.22234243731606151,0.19156779130341905,0.861588968871039,0.29625051861266516,-0.24803848422743002,0.7164983059302166,0.5054734435193353,15.405560031058172
0.5128167235076407,0.4149198446703266,0.8090996756741777,0.43563395717713754,-0.2243917674557267,0.5310588726393276,0.2486700778612142,16.49256133227495
0.9335490784413171,0.5901692643104555,0.6321780803381228,0.008879644134023038,-0.08535221955349531,0.7432824881932425,0.05983543654492851,20.53898216424889
0.7579656707588186,0.2009826636574464,0.26516064171644815,0.17253687681192573,-0.24283870842621239,0.039357329142103326,0.05997786976312269,6.61067219402738
0.16130904627243103,0.1460966984248439,0.9056943909897319,0.343661143473959,-0.24256504450637933,0.16152344400012797,0.5953878375112949,9.126050242067281
0.23569645986361876,0.19176447688369022,0.813607794511004,0.9094009482579772,-0.044224213038628446,0.4393403268301519,0.8465713371198175,18.748065745207317
0.8600886287047136,0.44856171033754305,0.5215296370248184,0.08674244495848221,-0.20777825882731654,0.48675689165309055,0.5591176936399481,18.151821045961455
0.5987576113442404,0.2812875736141426,0.46978538274050174,0.014364705299113413,-0.10548814322403774,0.555170199931246,0.8544595774355558,20.78456731609467
0.893211375638457,0.40565062258686163,0.45414851808946943,0.599463038186118,-0.17478694611231127,0.14612965265648303,0.059983489150659874,13.362826089752852
0.5228865335189344,0.19695119420468227,0.3766614391065598,0.05275699348461411,-0.17693191239595757,0.4647832853605509,0.0981340292838282,12.084393786112553
0.371121108665723,0.06246577669104156,0.16831642079218367,0.08159787765951519,-0.2040555446191531,0.2327501966979323,0.15088212762998576,6.3915991263227685
0.7606819678045633,0.34283969740107806,0.4507004397521902,0.4830661929100842,-0.21196344164522324,0.941871791593172,0.5254527871607617,20.882445427640086
0.024272003598668657,0.018455691982187637,0.7603695305648335,0.6910994461818416,-0.14022446552877532,0.5724736391550007,0.7479374293247358,12.14270309506984
0.4489526430723765,0.25705129276493166,0.5725577000857348,0.8226902684022009,-0.0843324812585785,0.07218255374832327,0.35894231297146917,12.800612637935277
0.32625041600764315,0.017002601033721403,0.052115185757565685,0.001810781029101257,-0.040742491807441605,0.503693539431605,0.30768025295158385,10.94011463358352
0.7444176813412295,0.1898915470754076,0.2550873680663749,0.672760181826768,-0.14745941183505618,0.02090402621078702,0.044032592283143934,8.15447646196426
