f,U_infinity,target,f_delta,delta_squared,alpha_squared,alpha_delta_pc1,c_0.0254,c_0.0508,c_0.1016,c_0.1524,c_0.2286,c_0.3048
6.68586094706836,71.3,126.201,0.0177832502811501,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
6.90875477931522,71.3,125.201,0.0183761098749035,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
7.131698510466912,71.3,125.951,0.0189691021912368,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
7.378383712996714,71.3,127.591,0.0196252427738744,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
7.601402334583733,71.3,127.461,0.0202184342859979,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
7.824445930877619,71.3,125.571,0.0208116922265839,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
8.055475141757274,71.3,125.201,0.0214261905405417,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
8.294299608857235,71.3,123.061,0.0220614229070723,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
8.517393171418904,71.3,121.301,0.0226548137494121,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
8.748463629942055,71.3,119.541,0.0232694217750695,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
8.987321812850125,71.3,117.151,0.0239047438199016,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
9.210440366976515,71.3,115.391,0.0244982011355429,7.074693049622537e-06,0.0,-7.108300313994688,False,False,False,False,False,True
6.2166061010848646,55.5,126.416,0.0175731692839557,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
6.447305862541213,55.5,127.696,0.0182253138618683,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
6.68586094706836,55.5,128.086,0.0188996639518977,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
6.90875477931522,55.5,126.966,0.0195297426447941,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
7.131698510466912,55.5,126.086,0.0201599623924538,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
7.378383712996714,55.5,126.986,0.020857294787882,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
7.601402334583733,55.5,126.616,0.0214877262366334,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
7.824445930877619,55.5,124.106,0.0221182282841558,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
8.055475141757274,55.5,123.236,0.0227713041532572,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
8.294299608857235,55.5,121.106,0.0234464157368536,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
8.517393171418904,55.5,119.606,0.0240770590295616,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
8.748463629942055,55.5,117.976,0.0247302514979472,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
8.987321812850125,55.5,116.476,0.0254054583897541,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
9.210440366976515,55.5,113.076,0.0260361723288873,7.990859315423995e-06,0.0,-7.108300012392458,False,False,False,False,False,True
5.303304908059076,39.6,118.129,0.0164221113146755,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
5.525452939131784,39.6,119.319,0.0171100106072597,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
5.755742213586912,39.6,122.779,0.0178231199165002,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
5.993961427306569,39.6,124.809,0.0185607849221562,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
6.2166061010848646,39.6,126.959,0.0192502221089283,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
6.447305862541213,39.6,128.629,0.0199646025242704,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
6.68586094706836,39.6,129.099,0.0207033075809669,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
6.90875477931522,39.6,127.899,0.0213935163070294,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
7.131698510466912,39.6,125.499,0.0220838795490747,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
7.378383712996714,39.6,124.049,0.022847760171792,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
7.601402334583733,39.6,123.689,0.0235383553181095,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
7.824445930877619,39.6,121.399,0.0242290278006208,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
8.055475141757274,39.6,120.319,0.0249444283826696,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
8.294299608857235,39.6,119.229,0.0256839676042262,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
8.517393171418904,39.6,117.789,0.0263747948113151,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
8.748463629942055,39.6,116.229,0.0270903231200182,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
8.987321812850125,39.6,114.779,0.0278299667452936,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
9.210440366976515,39.6,112.139,0.028520871340778,9.58881166978888e-06,0.0,-7.108299525133161,False,False,False,False,False,True
5.303304908059076,31.7,117.195,0.0175390116580525,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
5.525452939131784,31.7,118.595,0.0182736963451194,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
5.755742213586912,31.7,122.765,0.0190353056320482,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
5.993961427306569,31.7,125.045,0.0198231406969814,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
6.2166061010848646,31.7,127.315,0.0205594678734684,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
6.447305862541213,31.7,129.095,0.0213224347169445,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
6.68586094706836,31.7,129.235,0.0221113805688511,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
6.90875477931522,31.7,127.365,0.0228485317585451,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
7.131698510466912,31.7,124.355,0.0235858479731601,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
7.378383712996714,31.7,122.365,0.024401681631237,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
7.601402334583733,31.7,122.375,0.0251392455223936,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
7.824445930877619,31.7,120.755,0.0258768920095317,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
8.055475141757274,31.7,119.135,0.0266409484032743,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
8.294299608857235,31.7,118.145,0.0274307851532468,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
8.517393171418904,31.7,115.645,0.0281685968880877,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
8.748463629942055,31.7,113.775,0.0289327896954276,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
8.987321812850125,31.7,110.515,0.0297227379498227,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
9.210440366976515,31.7,108.265,0.0304606323363973,1.093747414045784e-05,0.0,-7.108299144738362,False,False,False,False,False,True
6.68586094706836,71.3,127.122,0.0224754132922842,1.1300578939879372e-05,2.25,-5.608301493174933,False,False,False,False,False,True
6.90875477931522,71.3,125.992,0.0232247006375806,1.1300578939879372e-05,2.25,-5.608301493174933,False,False,False,False,False,True
7.131698510466912,71.3,125.872,0.0239741557247007,1.1300578939879372e-05,2.25,-5.608301493174933,False,False,False,False,False,True
7.378383712996714,71.3,126.632,0.0248034209343487,1.1300578939879372e-05,2.25,-5.608301493174933,False,False,False,False,False,True
